cve,mun,state,state2,year,homicides,pob,rate
1001,Aguascalientes,1,Aguascalientes,2010,62,804008.7818,7.71
1002,Asientos,1,Aguascalientes,2010,1,45971.63451,2.17
1003,Calvillo,1,Aguascalientes,2010,0,54680.40886,0
1004,Cosío,1,Aguascalientes,2010,2,15178.20337,13.17
1005,Jesús María,1,Aguascalientes,2010,3,100526.7558,2.98
1006,Pabellón de Arteaga,1,Aguascalientes,2010,1,42271.4736,2.36
1007,Rincón de Romos,1,Aguascalientes,2010,4,49625.48544,8.06
1008,San José de Gracia,1,Aguascalientes,2010,0,8532.126989,0
1009,Tepezalá,1,Aguascalientes,2010,0,19871.88993,0
1010,El Llano,1,Aguascalientes,2010,2,19014.4107,10.51
1011,San Francisco de los Romo,1,Aguascalientes,2010,0,36105.83246,0
2001,Ensenada,2,Baja California,2010,66,477375.2042,13.82
2002,Mexicali,2,Baja California,2010,132,957737.1803,13.78
2003,Tecate,2,Baja California,2010,35,103326.5852,33.87
2004,Tijuana,2,Baja California,2010,1257,1593765.9,78.86
2005,Playas de Rosarito,2,Baja California,2010,35,92638.68904,37.78
3001,Comondú,3,Baja California Sur,2010,7,72228.65501,9.69
3002,Mulegé,3,Baja California Sur,2010,4,60358.63744,6.62
3003,La Paz,3,Baja California Sur,2010,26,256677.362,10.12
3008,Los Cabos,3,Baja California Sur,2010,18,243268.2173,7.39
3009,Loreto,3,Baja California Sur,2010,0,17083.18294,0
4001,Calkiní,4,Campeche,2010,1,53785.15872,1.85
4002,Campeche,4,Campeche,2010,11,263471.5511,4.17
4003,Carmen,4,Campeche,2010,20,224975.9036,8.88
4004,Champotón,4,Campeche,2010,8,84475.54802,9.47
4005,Hecelchakán,4,Campeche,2010,0,28830.58512,0
4006,Hopelchén,4,Campeche,2010,0,38428.15464,0
4007,Palizada,4,Campeche,2010,0,8488.975171,0
4008,Tenabo,4,Campeche,2010,0,9914.242259,0
4009,Escárcega,4,Campeche,2010,4,55141.42912,7.25
4010,Calakmul,4,Campeche,2010,0,27336.38405,0
4011,Candelaria,4,Campeche,2010,4,41899.89085,9.54
5001,Abasolo,5,Coahuila,2010,0,1084.096627,0
5002,Acuña,5,Coahuila,2010,6,138341.0893,4.33
5003,Allende,5,Coahuila,2010,3,22960.44886,13.06
5004,Arteaga,5,Coahuila,2010,5,22823.41004,21.9
5005,Candela,5,Coahuila,2010,0,1825.333826,0
5006,Castaños,5,Coahuila,2010,1,26241.02771,3.81
5007,Cuatro Ciénegas,5,Coahuila,2010,0,13182.80952,0
5008,Escobedo,5,Coahuila,2010,0,2943.137896,0
5009,Francisco I. Madero,5,Coahuila,2010,9,56362.6378,15.96
5010,Frontera,5,Coahuila,2010,7,76159.60824,9.19
