"cve","mun","state","state2","year","homicides","pob","rate"
1001,"Aguascalientes",1,"Aguascalientes",2010,62,804008.7818,7.71
1002,"Asientos",1,"Aguascalientes",2010,1,45971.63451,2.17
1003,"Calvillo",1,"Aguascalientes",2010,0,54680.408861,0
1004,"Cosio",1,"Aguascalientes",2010,2,15178.2033735,13.17
1005,"Jesus Maria",1,"Aguascalientes",2010,3,100526.755751,2.98
1006,"Pabellon de Arteaga",1,"Aguascalientes",2010,1,42271.4736,2.36
1007,"Rincon de Romos",1,"Aguascalientes",2010,4,49625.485435,8.06
1008,"San Jose de Gracia",1,"Aguascalientes",2010,0,8532.1269891,0
1009,"Tepezala",1,"Aguascalientes",2010,0,19871.8899259,0
1010,"El Llano",1,"Aguascalientes",2010,2,19014.4106999,10.51
1011,"San Francisco de los Romo",1,"Aguascalientes",2010,0,36105.8324593,0
2001,"Ensenada",2,"Baja California",2010,66,477375.20424,13.82
2002,"Mexicali",2,"Baja California",2010,132,957737.18027,13.78
2003,"Tecate",2,"Baja California",2010,35,103326.585155,33.87
2004,"Tijuana",2,"Baja California",2010,1257,1593765.89956,78.86
2005,"Playas de Rosarito",2,"Baja California",2010,35,92638.689041,37.78
3001,"Comondu",3,"Baja California Sur",2010,7,72228.655006,9.69
3002,"Mulege",3,"Baja California Sur",2010,4,60358.637441,6.62
3003,"La Paz",3,"Baja California Sur",2010,26,256677.362016,10.12
3008,"Los Cabos",3,"Baja California Sur",2010,18,243268.217327,7.39
3009,"Loreto",3,"Baja California Sur",2010,0,17083.1829398,0
4001,"Calkini",4,"Campeche",2010,1,53785.158715,1.85
4002,"Campeche",4,"Campeche",2010,11,263471.551062,4.17
4003,"Carmen",4,"Campeche",2010,20,224975.903611,8.88
4004,"Champoton",4,"Campeche",2010,8,84475.548024,9.47
4005,"Hecelchakan",4,"Campeche",2010,0,28830.5851213,0
4006,"Hopelchen",4,"Campeche",2010,0,38428.154641,0
4007,"Palizada",4,"Campeche",2010,0,8488.9751707,0
4008,"Tenabo",4,"Campeche",2010,0,9914.2422589,0
4009,"Escarcega",4,"Campeche",2010,4,55141.429116,7.25
4010,"Calakmul",4,"Campeche",2010,0,27336.3840451,0
4011,"Candelaria",4,"Campeche",2010,4,41899.890851,9.54
5001,"Abasolo",5,"Coahuila",2010,0,1084.0966267,0
5002,"Acuña",5,"Coahuila",2010,6,138341.089278,4.33
5003,"Allende",5,"Coahuila",2010,3,22960.4488592,13.06
5004,"Arteaga",5,"Coahuila",2010,5,22823.4100362,21.9
5005,"Candela",5,"Coahuila",2010,0,1825.3338257,0
5006,"Castaños",5,"Coahuila",2010,1,26241.0277097,3.81
5007,"Cuatro Cienegas",5,"Coahuila",2010,0,13182.8095156,0
